Rainfall,Long,Lat
986.874353453517,39.5,3.5
826.6632152795792,36.5,4.5
998.9130463600159,37.5,4.5
954.3171029090881,38.5,4.5
899.32912966609,39.5,4.5
835.420273438096,40.5,4.5
788.2811633832753,41.5,4.5
608.68842244189,42.5,4.5
1123.5972908735275,35.5,5.5
1456.8007957935333,36.5,5.5
1290.7811044454575,37.5,5.5
1119.6062916517258,38.5,5.5
895.3074820637703,39.5,5.5
859.8966808021069,40.5,5.5
899.740795692429,41.5,5.5
631.5522129321471,42.5,5.5
601.6160488694604,43.5,5.5
538.2346892943606,44.5,5.5
477.7103942791,45.5,5.5
1841.8238813877106,35.5,6.5
2226.064488172531,36.5,6.5
1779.8079376220703,37.5,6.5
1372.6199411153793,38.5,6.5
1129.7125436067581,39.5,6.5
929.2562820911407,40.5,6.5
841.2097071409225,41.5,6.5
739.916145561685,42.5,6.5
813.8946462781969,43.5,6.5
739.2814246729176,44.5,6.5
506.52424644248094,45.5,6.5
1713.667792916298,34.5,7.5
2120.9928092956543,35.5,7.5
2199.8127040863037,36.5,7.5
1814.995395064354,37.5,7.5
1101.5095926523209,38.5,7.5
1022.3661671876907,39.5,7.5
1008.6530683636665,40.5,7.5
757.3684096932411,41.5,7.5
679.7858207002282,42.5,7.5
722.1406033933163,43.5,7.5
660.4755071476102,44.5,7.5
528.962131829001,45.5,7.5
369.99184027768206,46.5,7.5
1726.8839307427406,34.5,8.5
2124.111686229706,35.5,8.5
2078.624634206295,36.5,8.5
1617.76001226902,37.5,8.5
1184.9354169666767,38.5,8.5
842.9388302862644,39.5,8.5
1022.1052070856094,40.5,8.5
971.9430701732635,41.5,8.5
583.0768952816725,42.5,8.5
486.18607434630394,43.5,8.5
475.78581716120243,44.5,8.5
1551.751930527389,34.5,9.5
1803.9649465680122,35.5,9.5
1815.9211002588272,36.5,9.5
1572.6279355287552,37.5,9.5
1303.9081258773804,38.5,9.5
974.7961574196815,39.5,9.5
632.6162507534027,40.5,9.5
767.6787447631359,41.5,9.5
637.3794257640839,42.5,9.5
1100.6644739897456,34.5,10.5
1312.3759907335043,35.5,10.5
1453.5391327142715,36.5,10.5
1338.6192141771317,37.5,10.5
1024.2616755962372,38.5,10.5
1032.2795410752296,39.5,10.5
550.6398942172527,40.5,10.5
393.5733588039875,41.5,10.5
394.4297351837158,42.5,10.5
1182.788718166761,35.5,11.5
1717.9611434936523,36.5,11.5
1620.2142325639725,37.5,11.5
1019.0871955156326,38.5,11.5
1112.3643730282784,39.5,11.5
579.0242732167244,40.5,11.5
266.33948129042983,41.5,11.5
976.791848031623,36.5,12.5
1180.464113920927,37.5,12.5
758.8223059177399,38.5,12.5
693.0940029621124,39.5,12.5
473.5865648065228,40.5,12.5
283.87120570242405,41.5,12.5
762.8983418758617,36.5,13.5
1254.6363475620747,37.5,13.5
790.926708817482,38.5,13.5
530.0960695743561,39.5,13.5
356.3824283182621,40.5,13.5
